id,team_h_difficulty,team_a_difficulty,kickoff_time,team_h_score,team_a_score,event,team_a,team_h,team_h_game_number,team_a_game_number,team_h_points,team_a_points,team_h_running_points,team_a_running_points
370,4,2,2019-05-12T14:00:00Z,1,4,37,12,2,38,38,0,3,36,98
371,4,3,2019-05-12T14:00:00Z,1,3,37,0,3,38,38,0,3,40,70
372,2,2,2019-05-12T14:00:00Z,5,3,37,1,6,38,38,3,0,49,45
373,2,2,2019-05-12T14:00:00Z,0,4,37,14,8,38,38,0,3,26,45
374,4,3,2019-05-12T14:00:00Z,0,0,37,5,10,38,38,1,1,52,72
375,3,5,2019-05-12T14:00:00Z,2,0,37,19,11,38,38,3,0,97,57
376,2,4,2019-05-12T14:00:00Z,0,2,37,4,13,38,38,0,3,66,34
377,2,2,2019-05-12T14:00:00Z,1,1,37,9,15,38,38,1,1,39,16
378,2,4,2019-05-12T14:00:00Z,2,2,37,7,16,38,38,1,1,71,54
379,3,3,2019-05-12T14:00:00Z,1,4,37,18,17,38,38,0,3,50,52
