id,first_name,second_name,web_name,position,team,squad_number
134,Wayne,Hennessey,Hennessey,0,6,13
135,Julian,Speroni,Speroni,0,6,1
136,Vicente,Guaita,Guaita,0,6,31
137,James,Tomkins,Tomkins,1,6,5
138,Scott,Dann,Dann,1,6,6
139,Martin,Kelly,Kelly,1,6,34
140,Jeffrey,Schlupp,Schlupp,1,6,15
141,Patrick,van Aanholt,van Aanholt,1,6,3
142,Mamadou,Sakho,Sakho,1,6,12
143,Jairo,Riedewald,Riedewald,1,6,44
144,Aaron,Wan-Bissaka,Wan-Bissaka,1,6,29
145,Jason,Puncheon,Puncheon,2,9,42
146,James,McArthur,McArthur,2,6,18
147,Bakary,Sako,Sako,2,6,26
148,Andros,Townsend,Townsend,2,6,10
149,Luka,Milivojevic,Milivojevic,2,6,4
150,Wilfried,Zaha,Zaha,3,6,11
151,Christian,Benteke,Benteke,3,6,17
152,Alexander,Sørloth,Sørloth,3,6,9
153,Jordan,Pickford,Pickford,0,7,1
154,Maarten,Stekelenburg,Stekelenburg,0,7,22
155,Leighton,Baines,Baines,1,7,3
156,Seamus,Coleman,Coleman,1,7,23
157,Phil,Jagielka,Jagielka,1,7,6
158,Ashley,Williams,Williams,1,7,5
159,Mason,Holgate,Holgate,1,7,2
160,Jonjoe,Kenny,Kenny,1,7,43
161,Michael,Keane,Keane,1,7,4
162,Cuco,Martina,Martina,1,7,15
163,Theo,Walcott,Walcott,2,7,11
164,Yannick,Bolasie,Bolasie,2,7,0
165,James,McCarthy,McCarthy,2,7,16
166,Morgan,Schneiderlin,Schneiderlin,2,7,18
167,Idrissa,Gueye,Gueye,2,7,17
168,Tom,Davies,Davies,2,7,26
169,Ademola,Lookman,Lookman,2,7,31
170,Davy,Klaassen,Klaassen,2,7,20
171,Gylfi,Sigurdsson,Sigurdsson,2,7,10
172,Nikola,Vlasic,Vlasic,2,7,27
173,Beni,Baningime,Baningime,2,7,34
174,Dominic,Calvert-Lewin,Calvert-Lewin,3,7,29
175,Oumar,Niasse,Niasse,3,4,29
176,Cenk,Tosun,Tosun,3,7,14
177,Marcus,Bettinelli,Bettinelli,0,8,1
178,David,Button,Button,0,2,27
179,Tim,Ream,Ream,1,8,13
180,Denis,Odoi,Odoi,1,8,4
181,Tom,Cairney,Cairney,2,8,10
182,Kevin,McDonald,McDonald,2,8,6
183,Ryan,Sessegnon,Sessegnon,2,8,3
184,Stefan,Johansen,Johansen,2,8,8
185,Floyd,Ayité,Ayité,2,8,11
186,Neeskens,Kebano,Kebano,2,8,7
187,Rui Pedro,da Rocha Fonte,Fonte,2,8,17
188,Aboubakar,Kamara,Kamara,3,8,47
189,Ben,Hamer,Hamer,0,9,12
190,Jonas,Lössl,Lössl,0,9,1
191,Christopher,Schindler,Schindler,1,9,26
192,Chris,Löwe,Löwe,1,9,15
