id,first_name,second_name,web_name,position,team,squad_number
579,Chris,Mepham,Mepham,1,1,33
580,Carl,Jenkinson,Jenkinson,1,0,25
581,Dan,Burn,Burn,1,2,33
582,Josh,Benson,Benson,2,3,46
583,Lucas,Perri,Perri,0,6,22
584,Karlan,Grant,Grant,3,9,16
585,Denis,Suárez,Suárez,2,0,22
586,Miguel,Almirón,Almirón,2,14,24
587,Antonio,Barreca,Barreca,1,14,23
588,Leandro,Bacuna,Bacuna,1,4,15
589,Peter,Crouch,Crouch,3,3,15
590,Youri,Tielemans,Tielemans,2,10,21
591,Michy,Batshuayi,Batshuayi,3,6,23
592,Håvard,Nordtveit,Nordtveit,1,8,16
593,Lazar,Markovic,Markovic,2,8,30
594,Alfie,Jones,Jones,1,15,32
595,Cameron,John,John,1,19,47
596,Curtis,Jones,Jones,2,11,48
597,Joel,Coleman,Coleman,0,9,13
598,Sam,Surridge,Surridge,3,1,44
599,Kyle,Taylor,Taylor,2,1,28
600,Demeaco,Duhaney,Duhaney,1,9,38
601,James,Garner,Garner,2,13,37
602,Tahith,Chong,Chong,2,13,44
603,Philippe,Sandler,Sandler,1,12,34
604,Ben,Johnson,Johnson,1,18,53
605,Matthew,Daly,Daly,2,9,41
606,Aaron,Rowe,Rowe,2,9,44
607,Mason,Greenwood,Greenwood,3,13,54
608,Sam,Woods,Woods,1,6,35
609,Harvey,Elliott,Elliott,2,8,56
610,Nathan,Holland,Holland,2,18,37
611,George,Marsh,Marsh,2,16,47
612,Nnamdi,Ofoborh,Ofoborh,2,1,59
613,Vincent,Janssen,Janssen,3,16,9
614,Anthony,Driscoll-Glennon,Driscoll-Glennon,1,3,45
615,Mark,Travers,Travers,0,1,42
616,Jayson,Molumby,Molumby,2,2,0
617,Luke,Dreher,Dreher,2,6,0
618,Nikola,Tavares,Tavares,1,6,0
619,Matt,Butcher,Butcher,2,1,0
620,Luca,De La Torre,De La Torre,2,8,0
621,Kelland,Watts,Watts,2,14,0
622,Lewis,Cass,Cass,1,14,0
623,Addji Keaninkin Marc-Israel,Guehi,Guehi,1,5,0
